line,y,pop
ind1,1.0824385,1
ind2,0.3220385,1
ind3,-1.0706615,1
ind4,4.5809385,1
ind5,0.422838499999999,1
ind6,1.7880385,1
ind7,0.197138499999999,1
ind8,0.5970385,1
ind9,-1.5494615,1
ind10,1.0006385,1
ind11,-0.1307615,1
ind12,-1.2488615,1
ind13,-1.5724615,1
ind14,-1.4023615,1
ind15,0.4462385,1
ind16,0.4844385,1
ind17,-1.1480615,1
ind18,-1.6727615,1
ind19,-2.2481615,1
ind20,-2.4529615,1
ind21,-0.7390615,1
ind22,-0.382561500000001,1
ind23,0.461238499999999,1
ind24,1.2571385,1
ind25,0.197538499999999,1
ind26,1.5466385,1
ind27,0.066238499999999,1
ind28,0.207038499999999,1
ind29,-0.462561500000001,1
ind30,0.383138499999999,1
ind31,1.7855385,1
ind32,-3.5096615,1
ind33,0.492438499999999,1
ind34,-0.0268615000000008,1
ind35,0.2145385,1
ind36,1.2613385,1
ind37,-0.6108615,1
ind38,-0.944261500000001,1
ind39,-1.0200615,1
ind40,1.7449385,1
ind41,0.208238499999998,1
ind42,1.3943385,1
ind43,-1.9924615,1
ind44,0.8128385,1
ind45,-0.207261500000001,1
ind46,2.0236385,1
ind47,0.438738499999999,1
ind48,1.2666385,1
ind49,-0.929161500000001,1
ind50,2.1412385,1
ind51,-0.133261500000001,1
ind52,0.983138499999999,1
ind53,0.4257385,1
ind54,0.707838499999999,1
ind55,2.6108385,1
ind56,1.3420385,1
ind57,-1.8682615,1
ind58,-0.230761500000002,1
ind59,-0.9111615,1
ind60,-0.9951615,1
ind61,0.767238499999999,1
ind62,0.2906385,1
ind63,-0.111461500000001,1
ind64,-0.109861500000001,1
ind65,1.2100385,1
ind66,0.2038385,1
ind67,-1.6106615,1
ind68,1.7016385,1
ind69,0.5772385,1
ind70,-1.1764615,1
ind71,1.4724385,1
ind72,0.767338499999999,1
ind73,-0.00176150000000064,1
ind74,0.161638499999999,1
ind75,-0.9806615,1
ind76,1.2472385,1
ind77,-1.7045615,1
ind78,-3.3954615,1
ind79,0.265438499999998,1
ind80,1.2026385,1
ind81,-0.6254615,1
ind82,0.651738499999999,1
ind83,1.1273385,1
ind84,-2.0840615,1
