"bin","gamma1","gamma2","gamma3","gamma4","gamma5","gamma6","gamma7","gamma8","gamma9","gamma10","gamma11","gamma12","gamma13","gamma14","gamma15","gamma16","gamma17","gamma18","gamma19","gamma20","stderr1","stderr2","stderr3","stderr4","stderr5","stderr6","stderr7","stderr8","stderr9","stderr10","stderr11","stderr12","stderr13","stderr14","stderr15","stderr16","stderr17","stderr18","stderr19","stderr20"
11,2.63539632718565e-06,-2.65906596210364e-06,2.96651962200118e-06,-2.99276239798153e-06,-3.02238392303698e-07,2.78758871093817e-07,-2.3990407352308e-06,2.39071347459788e-06,-3.48550761285084e-06,3.50843320184623e-06,-9.05721127646338e-08,9.9821360838142e-08,6.02181199711188e-07,-5.78506616576616e-07,1.85286716620503e-06,-1.83137970261829e-06,5.3714266584486e-07,-5.42146953245554e-07,1.76323376713723e-07,-1.66936780362095e-07,0.000505210347048852,0.000505210359982703,0.000505210335457422,0.000505210344633545,0.000505210459895619,0.000505210463495008,0.000505210647618129,0.000505210636504988,0.000505210289688051,0.000505210297226114,0.000505210295134754,0.00050521029469755,0.000505210630998373,0.000505210634450986,0.000505210352667057,0.000505210342255006,0.000505210719125082,0.000505210726450644,0.000505210380653049,0.000505210369714846
12,8.37571473280968e-07,-8.45093871941388e-07,1.0012400246456e-06,-1.00958020818379e-06,-6.12366799772012e-08,5.37746708002699e-08,-2.90328108163385e-07,2.8768165934875e-07,-1.10775088157727e-06,1.11503681814537e-06,-2.87853183455574e-08,3.1724811662528e-08,4.1888497501337e-07,-4.11360983093603e-07,4.80203666650816e-09,2.02684904306957e-09,1.70712262046457e-07,-1.72302668979327e-07,-1.48564696133767e-07,1.51547835742394e-07,0.000284811700427012,0.000284811702744324,0.000284811722434636,0.000284811725577319,0.000284811756780037,0.00028481175756207,0.00028481179923394,0.000284811798857361,0.000284811690149641,0.000284811691500209,0.000284811691125513,0.000284811691047181,0.000284811781021774,0.00028481178342578,0.00028481174608634,0.000284811743729321,0.00028481176709193,0.000284811768404423,0.000284811702980883,0.000284811701229763
13,1.9262561559329e-06,-1.94314396181477e-06,1.87606340010331e-06,-1.89478714017126e-06,-7.15391374509435e-08,5.47869291892401e-08,-6.42025602960966e-07,6.36084325023397e-07,-2.87616145084149e-06,2.89251836981955e-06,-3.07416551949232e-07,3.14015727113964e-07,9.40386780015864e-07,-9.23495414586846e-07,1.0780547721015e-08,4.55032298451403e-09,3.8324480656351e-07,-3.86815263644163e-07,-3.7375948284322e-07,3.80456641795635e-07,0.000426741430668586,0.000426741436684295,0.000426741480852797,0.000426741489867071,0.000426741551628244,0.000426741551774877,0.000426741632038166,0.000426741628180959,0.000426741406869382,0.000426741406292775,0.000426741285036159,0.000426741282043999,0.000426741627499389,0.000426741635585818,0.000426741509987491,0.000426741502059116,0.00042674158064371,0.000426741585058582,0.000426741396765254,0.000426741390728052
14,3.57724872077224e-07,-3.63765511969878e-07,5.41479440253816e-07,-5.48176771322477e-07,1.15687291093953e-07,-1.21679446009031e-07,4.56281501471602e-08,-4.77533054320479e-08,-1.02879777586565e-06,1.03464852705837e-06,-2.92599217889797e-07,2.94959690729857e-07,3.36374150257847e-07,-3.30332224978631e-07,6.36065515885211e-08,-5.81228118740135e-08,7.27867081699946e-08,-7.40638392353236e-08,-1.33693118206617e-07,1.36088641406723e-07,0.000255224054176861,0.000255224055261375,0.000255224074818819,0.00025522407538033,0.000255224121899378,0.000255224122847079,0.000255224100371892,0.000255224099327108,0.000255224050725166,0.000255224050601813,0.000255224039704093,0.000255224039114695,0.000255224097925044,0.000255224099654967,0.000255224070660347,0.000255224069299777,0.000255224095304346,0.00025522409559982,0.000255224048563556,0.000255224047272022
15,9.7102499292032e-08,-1.03499566428289e-07,7.6338021642715e-07,-7.70472727594029e-07,8.47386894184988e-08,-9.10844125504871e-08,4.83204294187125e-08,-5.05709801580653e-08,-1.08950173065167e-06,1.09569770669071e-06,-2.82626964189792e-07,2.85126718545767e-07,3.562218401004e-07,-3.4982340991932e-07,6.73596427803057e-08,-6.15523337220314e-08,6.15811036147716e-08,-6.29335923483475e-08,-2.12700215178619e-07,2.15237086452309e-07,0.000262645884798144,0.00026264588590912,0.000262645903937321,0.000262645904753355,0.000262645969217663,0.000262645969780719,0.000262645939918561,0.000262645938779955,0.000262645885813556,0.000262645885679125,0.000262645889538187,0.000262645889506119,0.000262645937251985,0.000262645939137256,0.000262645907538917,0.000262645906056167,0.000262645934269321,0.000262645934805953,0.000262645866705841,0.000262645865677386
16,1.19527845836594e-07,-1.23132990330491e-07,3.17273390436314e-07,-3.21270457371091e-07,4.77556587533648e-08,-5.13318670379896e-08,-3.13941365511355e-08,3.01258111964344e-08,-5.62619378614607e-07,5.6611119461525e-07,-1.37639628794077e-07,1.39048394911763e-07,2.00753750456528e-07,-1.97147837561378e-07,-8.07722609024052e-08,8.40450378994481e-08,-1.97116588468992e-08,1.89494475520946e-08,-1.19870214779829e-07,1.21299899132114e-07,0.00019717046245404,0.000197170463321122,0.000197170462824797,0.000197170462798354,0.000197170493465035,0.000197170493703248,0.000197170483155604,0.000197170482778079,0.000197170461418343,0.000197170461274214,0.000197170463688899,0.000197170463561532,0.00019717047994123,0.000197170480738835,0.000197170469402125,0.000197170468370225,0.000197170484428322,0.000197170484287439,0.000197170450095063,0.000197170449659953
17,1.18563058866749e-07,-1.2213910365314e-07,2.46479528348939e-07,-2.50444332478214e-07,3.86513686033425e-08,-4.21987106667714e-08,-3.11407338578061e-08,2.98826461256799e-08,-5.58078111334148e-07,5.61541742582295e-07,-1.36528649668536e-07,1.37926044759355e-07,1.81516759554083e-07,-1.77939952414904e-07,-8.01202953126951e-08,8.33666555722374e-08,-1.95525530819039e-08,1.87964942136082e-08,-2.04231678110177e-07,2.05649821952007e-07,0.000196373102779423,0.000196373103636027,0.000196373106237732,0.000196373106350181,0.000196373138551202,0.00019637313863001,0.000196373123230849,0.000196373122857886,0.00019637310175624,0.000196373101613852,0.00019637310399936,0.000196373103873533,0.00019637312221111,0.000196373123106391,0.000196373109643554,0.000196373108624122,0.000196373124488188,0.000196373124349008,0.000196373091862348,0.000196373091304355
18,1.09443912241915e-07,-1.12744908185431e-07,1.85441654972015e-08,-2.22040193634017e-08,3.56785396341897e-08,-3.89530405748743e-08,-2.87455774603712e-08,2.75842546182813e-08,-2.53318785610545e-07,2.56516014688852e-07,-2.23278000451216e-07,2.2456791676223e-07,3.30591237187973e-07,-3.27289539279038e-07,-7.39579307137301e-08,7.69545997576607e-08,-3.69990926560892e-08,3.63011853961021e-08,-1.88523426837167e-07,1.89832495347457e-07,0.000188670095792544,0.000188670096552246,0.000188670094360584,0.000188670093870682,0.000188670127517708,0.000188670127587601,0.000188670113930442,0.000188670113599669,0.000188670098928662,0.00018867009877614,0.000188670090024921,0.000188670090276797,0.000188670110237383,0.000188670111212209,0.000188670101880183,0.000188670100976073,0.000188670116848154,0.000188670116503001,0.000188670086110443,0.000188670085615571
19,1.54692180447962e-07,-1.58083652246709e-07,1.9052436468312e-08,-2.28126024471884e-08,3.66564419946615e-08,-4.00206929884706e-08,5.79273554979985e-08,-5.91205085864927e-08,-3.15455784162118e-07,3.18740644660137e-07,-2.22311146790968e-07,2.23636417976626e-07,3.39652310906221e-07,-3.36260117392335e-07,-2.22095360068104e-07,2.25174163238496e-07,-3.80131895250299e-08,3.72961535631211e-08,-7.44326412060859e-08,7.57775906599663e-08,0.000191238222069007,0.000191238222390424,0.000191238221017549,0.000191238220507368,0.000191238255547161,0.000191238255619948,0.000191238246063231,0.000191238246034425,0.000191238222563031,0.000191238222159375,0.000191238223061109,0.000191238223197533,0.000191238237551543,0.000191238238566721,0.000191238232374383,0.000191238231587446,0.000191238244435958,0.000191238244076517,0.000191238215265202,0.000191238215028646
20,2.50512282094303e-07,-2.56655473790746e-07,1.58178010629147e-07,-1.64989040768194e-07,-4.01321619114429e-07,3.95227736517861e-07,1.04927230870654e-07,-1.07088464772383e-07,-5.71403416327112e-07,5.77353496382498e-07,-7.37170699530197e-07,7.39571249852951e-07,6.33262204167207e-07,-6.27117713054168e-07,-4.73363433662503e-07,4.7894026800947e-07,-1.31606241545409e-07,1.30307428770143e-07,-1.34824154624029e-07,1.37260349894938e-07,0.000257381444169979,0.000257381445034604,0.000257381458113805,0.000257381457596672,0.00025738155268521,0.000257381553166233,0.000257381516864932,0.000257381516794707,0.000257381459575064,0.00025738145859101,0.000257381466128249,0.000257381466106946,0.000257381495732062,0.000257381499132057,0.000257381497862179,0.000257381496232452,0.000257381496966551,0.000257381496099633,0.000257381441784089,0.000257381441207399
