"bin","initial","conv","fn1","fn0","lrt","beta","sigma2","xi","tau_k"
21,1,0,7664.63738146902,7664.63736755657,-2.78248862741748e-05,0.000546739202218227,1.06925605935209,5.6394580507035e-08,6.03002469217661e-08
22,1,0,7664.637377765,7664.63736755657,-2.04168645723257e-05,0.000546749600891081,1.06925606951517,3.59589958229106e-08,3.84493745373179e-08
23,1,0,7664.63738068137,7664.63736755657,-2.62495941569796e-05,0.000546756661140969,1.06925607422155,3.35217211544083e-08,3.58433039627122e-08
24,1,0,7664.63738088914,7664.63736755657,-2.66651368292514e-05,0.000546758516109174,1.06925607469228,3.33476544205009e-08,3.56571820658595e-08
25,1,0,7664.6373788441,7664.63736755657,-2.2575055481866e-05,0.000546759631643653,1.06925607128474,3.49406794732931e-08,3.73605336616329e-08
26,1,0,7664.63737750082,7664.63736755657,-1.98885009012884e-05,0.000546743666916893,1.06925604465606,7.29108406259758e-08,7.79603570602795e-08
27,1,0,7664.63737840154,7664.63736755657,-2.16899297811324e-05,0.000546748156977952,1.06925604825327,6.83854537823449e-08,7.31215600693167e-08
28,1,0,7664.63738230593,7664.63736755657,-2.94987094093813e-05,0.00054671906317619,1.06925597453653,1.84002679617251e-07,1.96745964511478e-07
29,1,0,7664.63737790506,7664.63736755657,-2.06969834835036e-05,0.000546760932614655,1.06925606988424,3.56776569729835e-08,3.81485512776104e-08
30,1,0,7664.63737723708,7664.63736755657,-1.93610085261753e-05,0.000546761273664663,1.06925606877021,3.64512833321018e-08,3.89757559173122e-08
31,1,0,7664.63737907779,7664.63736755657,-2.30424338951707e-05,0.000546766278830976,1.06925604988041,6.60411171528592e-08,7.06148640565558e-08
32,1,0,7664.63737816957,7664.63736755657,-2.1225987438811e-05,0.000546766232606952,1.06925606979427,3.56077960853557e-08,3.80738520962632e-08
33,1,0,7664.637378521,7664.63736755657,-2.19288504013093e-05,0.000546763908979935,1.06925604853311,6.75128158451546e-08,7.21884866959339e-08
34,1,0,7664.63738094247,7664.63736755657,-2.67717969109071e-05,0.000546771519297058,1.06925596182771,1.97394950808508e-07,2.11065727986684e-07
35,1,0,7664.63738157188,7664.63736755657,-2.80306121567264e-05,0.000546783681980398,1.06925522058877,1.27999111337231e-06,1.36863718028058e-06
36,1,0,7664.60574727039,7664.63736755657,0.0632405723699776,0.000481176589597939,1.06861747753746,0.000931896821449905,0.00099584123066297
37,1,0,7664.63235447988,7664.63736755657,0.0100261533916637,0.000537716069497569,1.06899224543449,0.000393464039770284,0.00042061000737176
38,1,0,7664.63737871373,7664.63736755657,-2.23143197217723e-05,0.000546763018936316,1.06925605069591,6.62362203109234e-08,7.0823479342682e-08
39,1,0,7664.63737842761,7664.63736755657,-2.17420692933956e-05,0.000546761995720833,1.06925604965986,6.72744828626916e-08,7.19336477886714e-08
40,1,0,7664.63737866844,7664.63736755657,-2.22237449634122e-05,0.000546767769049848,1.06925605046836,6.65261658266656e-08,7.11335053246237e-08
41,1,0,7664.63737962414,7664.63736755657,-2.41351408476476e-05,0.000546772525069543,1.06925605342946,6.26531753617003e-08,6.69922870220755e-08
42,1,0,7664.6373774508,7664.63736755657,-1.97884655790403e-05,0.000546770796749723,1.06925606945517,3.59766569758871e-08,3.84682588301741e-08
